"","Gene_ID","exons.x","genes.x","introns.x","exons.y","genes.y","introns.y"
"1642","ENSMUSG00000032852",12,0,0,0,15,0
"1643","ENSMUSG00000027460",1,0,0,0,4,0
"1644","ENSMUSG00000088491",1,0,0,0,1,0
"1645","ENSMUSG00000027459",94,0,0,0,101,0
"1646","ENSMUSG00000027463",25,0,0,0,25,0
"1647","ENSMUSG00000085946",13,0,0,0,13,0
"1648","ENSMUSG00000060257",796,0,0,0,964,0
"1649","ENSMUSG00000032802",2089,0,0,0,2162,0
"1650","ENSMUSG00000068079",5,0,0,0,6,0
"1651","ENSMUSG00000081087",61,0,0,0,61,0
"1652","ENSMUSG00000074698",2535,0,0,0,2766,0
"1653","ENSMUSG00000027465",1270,0,0,0,1362,0
"1654","ENSMUSG00000027466",1974,0,0,0,2202,0
"1655","ENSMUSG00000032715",39,0,0,0,49,0
"1656","ENSMUSG00000068062",107,0,0,0,46,0
